"Item_Weight","Item_Fat_ContentLF","Item_Fat_Contentlow fat","Item_Fat_ContentLow Fat","Item_Fat_Contentreg","Item_Fat_ContentRegular","Item_Visibility","Item_TypeBaking Goods","Item_TypeBreads","Item_TypeBreakfast","Item_TypeCanned","Item_TypeDairy","Item_TypeFrozen Foods","Item_TypeFruits and Vegetables","Item_TypeHard Drinks","Item_TypeHealth and Hygiene","Item_TypeHousehold","Item_TypeMeat","Item_TypeOthers","Item_TypeSeafood","Item_TypeSnack Foods","Item_TypeSoft Drinks","Item_TypeStarchy Foods","Item_MRP","Outlet_Establishment_Year1985","Outlet_Establishment_Year1987","Outlet_Establishment_Year1997","Outlet_Establishment_Year1998","Outlet_Establishment_Year1999","Outlet_Establishment_Year2002","Outlet_Establishment_Year2004","Outlet_Establishment_Year2007","Outlet_Establishment_Year2009","Outlet_SizeOther","Outlet_SizeHigh","Outlet_SizeMedium","Outlet_SizeSmall","Outlet_Location_TypeTier 1","Outlet_Location_TypeTier 2","Outlet_Location_TypeTier 3","Outlet_TypeGrocery Store","Outlet_TypeSupermarket Type1","Outlet_TypeSupermarket Type2","Outlet_TypeSupermarket Type3"
9.3,0,0,1,0,0,0.016047301,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,249.8092,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
5.92,0,0,0,0,1,0.019278216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48.2692,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
17.5,0,0,1,0,0,0.016760075,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,141.618,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
19.2,0,0,0,0,1,0.053930934,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,182.095,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
8.93,0,0,1,0,0,0.053930934,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53.8614,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
10.395,0,0,0,0,1,0.053930934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4008,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
13.65,0,0,0,0,1,0.012741089,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57.6588,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
12.6,0,0,1,0,0,0.127469857,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,107.7622,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
16.2,0,0,0,0,1,0.016687114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96.9726,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
19.2,0,0,0,0,1,0.09444959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,187.8214,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
