Date,Price,Open,High,Low,Vol.,Change %
22-Jul-10,"5,441.95","5,399.15","5,447.15","5,372.20",156.00M,0.79%
23-Jul-10,"5,449.10","5,441.90","5,477.50","5,435.15",165.93M,0.13%
26-Jul-10,"5,418.60","5,446.55","5,466.25","5,409.20",147.33M,-0.56%
27-Jul-10,"5,430.60","5,420.20","5,450.95","5,407.20",155.31M,0.22%
28-Jul-10,"5,397.55","5,436.10","5,447.85","5,386.25",146.94M,-0.61%
29-Jul-10,"5,408.90","5,397.85","5,415.85","5,381.55",162.31M,0.21%
30-Jul-10,"5,367.60","5,408.40","5,413.25","5,349.20",131.80M,-0.76%
2-Aug-10,"5,431.65","5,369.55","5,438.85","5,351.30",104.23M,1.19%
3-Aug-10,"5,439.55","5,432.50","5,459.20","5,426.40",130.73M,0.15%
4-Aug-10,"5,467.85","5,441.35","5,481.90","5,428.40",120.78M,0.52%
5-Aug-10,"5,447.10","5,470.15","5,487.15","5,443.10",129.64M,-0.38%
6-Aug-10,"5,439.25","5,448.25","5,471.90","5,431.35",116.67M,-0.14%
9-Aug-10,"5,486.15","5,439.80","5,492.30","5,433.25",137.00M,0.86%
10-Aug-10,"5,460.70","5,486.80","5,491.45","5,445.35",164.22M,-0.46%
11-Aug-10,"5,420.60","5,460.70","5,474.60","5,412.00",174.63M,-0.73%
12-Aug-10,"5,416.45","5,418.70","5,431.10","5,372.45",172.04M,-0.08%
13-Aug-10,"5,452.10","5,420.65","5,476.50","5,415.50",154.91M,0.66%
16-Aug-10,"5,418.30","5,452.10","5,465.25","5,397.40",189.45M,-0.62%
17-Aug-10,"5,414.15","5,422.15","5,443.55","5,408.80",138.28M,-0.08%
18-Aug-10,"5,479.15","5,416.25","5,487.95","5,416.25",154.25M,1.20%
19-Aug-10,"5,540.20","5,478.25","5,544.70","5,478.10",167.74M,1.11%
20-Aug-10,"5,530.65","5,540.80","5,546.60","5,513.35",144.07M,-0.17%
23-Aug-10,"5,543.50","5,531.15","5,549.80","5,519.40",118.74M,0.23%
24-Aug-10,"5,505.10","5,541.10","5,547.25","5,488.45",139.15M,-0.69%
25-Aug-10,"5,462.35","5,505.30","5,506.15","5,452.55",157.76M,-0.78%
26-Aug-10,"5,477.90","5,462.10","5,486.55","5,454.70",186.38M,0.28%
27-Aug-10,"5,408.70","5,489.60","5,495.20","5,391.95",142.33M,-1.26%
30-Aug-10,"5,415.45","5,408.90","5,469.00","5,390.35",113.84M,0.12%
31-Aug-10,"5,402.40","5,413.55","5,413.90","5,348.90",157.13M,-0.24%
1-Sep-10,"5,471.85","5,403.05","5,478.60","5,403.05",144.23M,1.29%
2-Sep-10,"5,486.15","5,471.90","5,513.95","5,471.85",159.67M,0.26%
3-Sep-10,"5,479.40","5,486.30","5,510.40","5,473.65",146.81M,-0.12%
6-Sep-10,"5,576.95","5,479.55","5,589.40","5,479.55",158.94M,1.78%
7-Sep-10,"5,604.00","5,575.90","5,625.50","5,571.65",177.48M,0.49%
8-Sep-10,"5,607.85","5,604.25","5,625.30","5,567.75",135.33M,0.07%
9-Sep-10,"5,640.05","5,608.30","5,647.45","5,608.10",138.06M,0.57%
13-Sep-10,"5,760.00","5,639.20","5,770.60","5,639.20",152.80M,2.13%
14-Sep-10,"5,795.55","5,760.30","5,838.45","5,760.30",188.43M,0.62%
15-Sep-10,"5,860.95","5,795.25","5,869.45","5,792.20",187.21M,1.13%
16-Sep-10,"5,828.70","5,861.10","5,901.65","5,815.80",192.47M,-0.55%
17-Sep-10,"5,884.95","5,828.70","5,898.40","5,828.70",211.38M,0.97%
20-Sep-10,"5,980.45","5,885.05","5,989.50","5,885.05",193.48M,1.62%
21-Sep-10,"6,009.05","5,980.50","6,032.80","5,961.85",200.95M,0.48%
22-Sep-10,"5,991.00","6,008.40","6,037.40","5,946.45",170.15M,-0.30%
23-Sep-10,"5,959.55","5,991.05","6,006.80","5,932.40",135.58M,-0.52%
24-Sep-10,"6,018.30","5,959.45","6,029.10","5,951.20",176.46M,0.99%
27-Sep-10,"6,035.65","6,018.30","6,073.50","6,018.30",166.77M,0.29%
28-Sep-10,"6,029.50","6,036.05","6,049.80","5,991.30",170.65M,-0.10%
29-Sep-10,"5,991.30","6,029.15","6,071.55","5,979.65",183.15M,-0.63%
30-Sep-10,"6,029.95","5,991.35","6,048.45","5,963.60",217.77M,0.65%
1-Oct-10,"6,143.40","6,030.30","6,153.10","6,030.30",179.17M,1.88%
4-Oct-10,"6,159.45","6,144.70","6,222.10","6,144.70",184.60M,0.26%
5-Oct-10,"6,145.80","6,159.45","6,188.35","6,118.05",145.24M,-0.22%
6-Oct-10,"6,186.45","6,150.95","6,223.40","6,148.60",152.50M,0.66%
7-Oct-10,"6,120.30","6,186.85","6,199.45","6,107.50",168.88M,-1.07%
8-Oct-10,"6,103.45","6,121.40","6,148.60","6,067.00",134.64M,-0.28%
11-Oct-10,"6,135.85","6,105.95","6,187.75","6,105.95",115.78M,0.53%
12-Oct-10,"6,090.90","6,135.95","6,144.95","6,057.95",109.94M,-0.73%
13-Oct-10,"6,233.90","6,091.45","6,240.25","6,089.75",148.66M,2.35%
14-Oct-10,"6,177.35","6,234.30","6,284.10","6,157.90",128.49M,-0.91%
15-Oct-10,"6,062.65","6,175.90","6,200.60","6,050.35",111.06M,-1.86%
